LRSN,PIN,curr_own_len,avg_own_len,PropClas,resOwner,ownerDistance
4428,C0040544106,1144.0,679.0,212,1,0
44825,S0002133014,1142.0,3951.0,110,0,2
66687,W0200125020,518.0,1277.0,115,1,0
75143,W0001518087,5481.0,2853.0,211,0,4
73479,C0050341128,2174.0,2836.0,120,1,0
29794,N0000635018,4204.0,2847.0,120,1,0
49212,S0071578016,1162.0,4607.0,110,0,3
66910,W0200147007,10619.0,4323.0,120,1,0
76318,C0070553214,1528.0,1528.0,212,0,4
59068,W0001207060,2906.0,2243.0,212,0,3
45601,S0002610014,11568.0,6816.0,115,1,0
30341,N0000704012,3122.0,1409.0,120,1,0
67464,W0210122004,10011.0,10773.0,110,1,0
53323,W0000459007,4277.0,5364.0,161,0,2
37729,N0002185003,2009.0,2375.0,110,1,0
4623,C0040585020,8436.0,3347.0,110,1,0
42316,S0000492001,658.0,2794.0,354,0,2
52925,W0000436007,968.0,3460.0,180,0,1
43680,S0001135006,690.0,1088.0,120,1,0
78882,W0000016040,731.0,1313.0,212,0,4
41177,S0000235005,1673.0,4604.0,120,1,0
60279,W0001368036,2138.0,974.0,160,0,2
59128,W0001207120,513.0,3386.0,212,0,2
33901,N0001155021,8151.0,4166.0,120,0,3
31632,N0000919007,6003.0,2385.0,120,0,2
36820,N0001819010,330.0,3435.0,120,1,0
26445,N0000062038,7197.0,4357.0,120,1,0
57674,W0001040020,638.0,372.0,120,1,0
34349,N0001226032,1506.0,1841.0,120,1,0
21472,E0000807001,1932.0,741.0,115,0,2
48559,S0071180018,4597.0,6099.0,110,1,0
24071,E0002811001,6549.0,5771.0,120,1,0
40659,S0000144022,2139.0,3026.0,110,0,3
1582,C0011092012,7045.0,3206.0,150,1,0
22117,E0000936026,676.0,7600.0,110,0,1
31613,N0000915022,4350.0,5364.0,110,0,2
62673,W0001621004,430.0,1527.0,120,1,0
30479,N0000718013,381.0,2105.0,120,0,3
53285,W0000457001,1260.0,2243.0,130,1,0
65892,W0190305041,5936.0,2808.0,120,1,0
54134,W0000610030,1568.0,2649.0,130,1,0
66158,W0200065010,9989.0,9780.0,110,1,0
18959,E0000485007,2355.0,1463.0,120,1,0
8185,C0060286058,1046.0,4076.0,115,0,2
75483,E0001570033,3264.0,1288.0,120,0,2
780,C0010661038,1537.0,6700.0,120,1,0
14848,C0090372056,11491.0,11191.0,115,1,0
77122,E0000069075,2579.0,1725.0,212,0,4
32200,N0000978021,1767.0,798.0,120,1,0
62966,W0001704144,14228.0,7274.0,212,0,2
37524,N0002176002,206.0,2954.0,115,1,0
44468,S0001710005,886.0,1760.0,110,1,0
12397,C0080590008,6295.0,2161.0,115,1,0
25613,E0120281022,434.0,7908.0,110,1,0
35104,N0001351013,4671.0,4991.0,115,1,0
3969,C0040457064,541.0,1113.0,120,1,0
77833,W0000328026,2625.0,2625.0,120,1,0
18130,E0000386023,3833.0,5624.0,115,0,3
3629,C0040370060,6573.0,3772.0,150,1,0
2779,C0030095034,1570.0,1419.0,110,1,0
19773,E0000579008,2611.0,2380.0,120,1,0
47865,S0060446019,8653.0,4737.0,110,1,0
4176,C0040504008,1247.0,11697.0,110,0,2
6434,C0050616002,7351.0,3183.0,110,0,2
13244,C0080815014,5250.0,3117.0,110,0,3
30542,N0000753005,5511.0,2927.0,120,1,0
4263,C0040527016,1064.0,1470.0,150,0,2
77465,W0000615083,4806.0,4806.0,212,0,3
76113,C0010491042,5247.0,5247.0,115,0,4
38461,N0160081008,2776.0,956.0,115,1,0
50928,S0090381018,7232.0,3460.0,110,1,0
29284,N0000573019,513.0,749.0,120,0,1
6918,C0050762028,1621.0,1094.0,115,1,0
10121,C0070174035,15064.0,7660.0,110,1,0
41431,S0000289006,1183.0,2057.0,110,0,3
48674,S0071229019,1229.0,1834.0,120,0,2
23276,E0001410030,3038.0,1370.0,120,0,2
29471,N0000596009,7862.0,3951.0,120,1,0
63428,W0001792001,389.0,4286.0,115,1,0
18973,E0000513001,617.0,493.0,120,1,0
59763,W0001325046,316.0,882.0,115,1,0
59454,W0001281025,10371.0,4587.0,120,1,0
68914,W0210471014,7728.0,6636.0,120,1,0
38620,N0160133008,5184.0,10248.0,115,1,0
42605,S0000586005,6742.0,5113.0,120,1,0
67700,W0210154007,542.0,1026.0,115,1,0
12998,C0080740074,4798.0,5545.0,110,0,3
23517,E0001646011,413.0,1657.0,110,1,0
66644,W0200116013,889.0,1108.0,120,1,0
30263,N0000697020,325.0,386.0,120,1,0
73220,S0000338015,2936.0,3057.0,130,1,0
43799,S0001229015,959.0,3113.0,160,0,3
7904,C0060125014,5932.0,14705.0,110,1,0
64560,W0190082020,3045.0,1801.0,115,1,0
69497,W0220189007,7063.0,3787.0,115,1,0
29840,N0000638007,6905.0,4494.0,120,1,0
9346,C0060659012,15451.0,8303.0,110,1,0
37725,N0002182029,2145.0,2114.0,120,1,0
23679,E0001768009,7632.0,5838.0,110,0,2
7295,C0050861062,19784.0,19784.0,150,1,0
28589,N0000450006,5903.0,5704.0,120,1,0
5380,C0050225014,5818.0,2795.0,115,1,0
64153,W0002024011,7260.0,5059.0,110,1,0
41477,S0000293008,394.0,3341.0,120,0,3
20913,E0000730027,1585.0,2010.0,120,1,0
59449,W0001281020,1465.0,6543.0,120,0,1
19700,E0000574028,3026.0,4273.0,120,1,0
61460,W0001504019,9367.0,9380.0,110,1,0
59874,W0001337010,9186.0,9660.0,115,1,0
23743,E0002024004,13765.0,7845.0,115,1,0
19619,E0000568008,1810.0,905.0,160,0,2
12443,C0080593008,4039.0,1575.0,115,0,3
11959,C0080427028,830.0,1111.0,110,0,3
1467,C0011014002,2936.0,1303.0,150,1,0
64765,W0190152005,849.0,1083.0,115,0,3
38345,N0051182036,2235.0,1772.0,120,0,3
75844,N0001599040,863.0,641.0,211,1,0
30588,N0000760008,6735.0,10929.0,120,1,0
198,C0010354004,3031.0,5113.0,120,1,0
38006,N0002349009,2633.0,2123.0,120,1,0
69138,W0220088008,4258.0,6240.0,120,1,0
68387,W0210297006,1859.0,3229.0,120,1,0
77979,E0000131044,4477.0,4477.0,210,0,1
32054,N0000972023,830.0,5292.0,120,1,0
68553,W0210330009,13528.0,10956.0,130,1,0
72875,N0000078046,2027.0,1101.0,120,0,2
13939,C0080992008,1036.0,2941.0,150,1,0
48513,S0071178018,4972.0,2841.0,110,0,2
30175,N0000690040,424.0,7317.0,120,0,4
11003,C0070436010,3467.0,1199.0,110,0,3
4227,C0040524020,1830.0,1816.0,110,1,0
23708,E0001792016,1215.0,5553.0,120,0,2
65973,W0190341036,696.0,3251.0,120,0,3
57881,W0001071022,5890.0,2136.0,120,1,0
56268,W0000893001,927.0,1018.0,120,1,0
62049,W0001584008,6028.0,5208.0,115,1,0
35573,N0001457010,2403.0,1217.0,110,0,3
15435,C0090595020,1141.0,819.0,110,1,0
36925,N0001891004,3952.0,3952.0,120,1,0
5368,C0050222032,1368.0,4936.0,110,1,0
4515,C0040550028,3508.0,2114.0,115,0,3
62836,W0001704014,4909.0,2350.0,212,1,0
62343,W0001599041,7031.0,3018.0,120,1,0
9524,C0060727002,5208.0,22058.0,110,0,2
30697,N0000777022,805.0,2410.0,120,0,1
60755,W0001415003,1141.0,1701.0,120,1,0
18476,E0000436024,6778.0,3899.0,120,1,0
79233,W0001036054,605.0,1484.0,211,1,0
29737,N0000633003,406.0,1876.0,160,1,0
37097,N0001901018,5590.0,3078.0,120,1,0
77972,W0001372020,2990.0,2245.0,210,0,2
79228,W0001036049,1403.0,1415.0,211,1,0
54066,W0000608031,4910.0,1686.0,161,0,3
51514,W0000049006,1353.0,4596.0,335,0,1
24350,E0100042016,15955.0,8283.0,110,1,0
29421,N0000592008,6034.0,3589.0,120,0,2
47933,S0070774001,1850.0,4118.0,325,0,2
47790,S0060442019,7093.0,4289.0,110,1,0
13953,C0080995024,12512.0,4754.0,115,1,0
53294,W0000457010,1310.0,1603.0,161,1,0
30846,N0000790032,3395.0,1155.0,110,1,0
54146,W0000612008,5553.0,2373.0,130,1,0
60205,W0001365034,11130.0,5395.0,120,1,0
62587,W0001608001,1228.0,2322.0,325,0,4
155,C0010295020,8450.0,3834.0,110,1,0
63882,W0001952013,5005.0,4046.0,115,1,0
3755,C0040410017,6819.0,3640.0,115,1,0
29197,N0000563007,277.0,5986.0,120,0,1
47876,S0060447004,1981.0,2386.0,110,0,2
77392,N0000615064,862.0,2236.0,211,1,0
48015,S0070914010,5736.0,3291.0,110,0,2
76598,W0190306030,1578.0,2629.0,212,1,0
25277,E0110248002,1002.0,5229.0,110,0,3
25077,E0110166020,1634.0,1912.0,115,1,0
22948,E0001234019,505.0,549.0,110,1,0
9410,C0060666014,8507.0,5845.0,110,1,0
52484,W0000252026,2468.0,1605.0,315,0,2
51973,W0000140038,303.0,1604.0,120,1,0
55909,W0000859023,1932.0,2481.0,160,0,3
73086,W0000133025,1645.0,1889.0,212,1,0
36618,N0001740005,12575.0,6128.0,115,1,0
46945,S0060192010,325.0,4998.0,115,1,0
66463,W0200107012,3086.0,6330.0,110,1,0
65622,W0190275039,7780.0,5812.0,110,1,0
39855,N0180502045,4152.0,8423.0,325,0,4
36676,N0001746002,12513.0,8762.0,120,1,0
65651,W0190280015,13854.0,6996.0,110,0,2
5845,C0050366036,5737.0,3938.0,110,1,0
73361,S0000027084,6099.0,6099.0,212,0,4
57236,W0001002020,7777.0,2872.0,161,0,1
1853,C0011219002,11628.0,4501.0,150,0,3
14325,C0090068006,564.0,1473.0,115,0,2
57801,W0001069041,515.0,3281.0,211,1,0
16613,E0000083044,1759.0,2381.0,335,0,1
5326,C0050191035,5084.0,3195.0,110,1,0
5070,C0040748006,2930.0,4564.0,150,1,0
15552,C0090618037,507.0,340.0,120,1,0
56865,W0000951004,7221.0,3993.0,130,1,0
13915,C0080986010,1540.0,644.0,110,1,0
76978,N0000629056,,,120,0,4
3134,C0040127030,357.0,2925.0,150,1,0
12114,C0080462014,9102.0,4962.0,110,1,0
53880,W0000591022,5191.0,3365.0,110,0,2
28432,N0000418003,5981.0,4439.0,161,0,2
15755,C0090670007,10873.0,5722.0,110,1,0
32627,N0001031006,12635.0,4799.0,110,1,0
51011,S0090418013,347.0,1627.0,110,0,4
49324,S0071629010,2650.0,2067.0,110,0,3
38249,N0051079012,2006.0,1781.0,110,0,1
25864,E0120331028,6304.0,3610.0,110,0,2
68974,W0220023002,1729.0,1658.0,115,1,0
22420,E0000966011,3413.0,7840.0,120,1,0
34617,N0001261031,507.0,355.0,120,1,0
82440,W0000167059,,,211,0,3
60634,W0001410020,5951.0,5595.0,160,1,0
47864,S0060446018,4707.0,4293.0,110,1,0
26701,N0000078038,800.0,1387.0,120,1,0
67298,W0200195039,12096.0,5533.0,120,1,0
79378,E0000800030,3039.0,3039.0,120,1,0
50066,S0080772002,837.0,3715.0,110,0,3
35250,N0001366018,4252.0,1848.0,120,0,3
36001,N0001559006,14906.0,14906.0,110,0,2
32041,N0000972001,410.0,2247.0,120,0,3
68101,W0210213006,7686.0,2885.0,110,1,0
69803,W0220295028,344.0,2769.0,120,1,0
41493,S0000294013,2198.0,1253.0,120,0,4
45522,S0002601015,6770.0,4141.0,120,1,0
63073,W0001767009,5295.0,2007.0,110,0,1
37802,N0002274018,1218.0,5719.0,115,1,0
60487,W0001407021,15337.0,5311.0,161,1,0
65149,W0190227028,10623.0,4179.0,110,1,0
34668,N0001265025,3185.0,1228.0,120,0,3
34689,N0001267001,18375.0,18375.0,110,1,0
38167,N0002457017,3430.0,2131.0,120,1,0
52581,W0000293034,9335.0,3600.0,161,1,0
78191,N0001330025,2431.0,1440.0,212,1,0
37161,N0001940010,10242.0,5280.0,325,0,2
64176,W0002025017,10740.0,4231.0,110,1,0
21570,E0000810028,1243.0,2271.0,120,1,0
23102,E0001275013,3132.0,4149.0,120,1,0
22667,E0001082004,1093.0,1253.0,110,1,0
9770,C0070067032,6084.0,2244.0,110,1,0
